省份,城市,区域,商圈,资源名称,详细地址,楼盘类型,楼栋数量,单元门数量,楼盘价格,住户数量,入住年份,广告限制,大门口媒体面数,单元内媒体数,其他媒体面数,总媒体面数
四川省,成都市,青羊区,青羊 金沙,君悦金沙4期,青羊区蜀辉路19号,社区,3,6.0,25570,729,2011,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,34,0,34
四川省,成都市,武侯区,高新,茂业中心2603,高新区天府大道北段28号,写字楼,1,,19200,1460,2011,,0,0,1,1
四川省,成都市,成华区,成华?槐树店,东升花园,成华区槐树店路34号,社区,6,2.0,10493,315,2002,,2,0,0,2
四川省,成都市,锦江区,锦江蓝谷地,东城印象,成华区圣灯东二路32号,社区,3,3.0,18839,379,2014,,1,7,0,8
四川省,成都市,成华区,成华?槐树店,成玻26号院,成华区槐树店路26号,社区,5,5.0,19756,1020,0,,2,0,0,2
四川省,成都市,锦江区,锦江 莲花,朝阳逸景,锦江区莲花西路76号,社区,3,7.0,22019,336,2003,,0,14,0,14
四川省,成都市,金牛区,金牛 金牛万达,百佳庭院,金牛区 一环路北三段123号,社区,1,8.0,13457,319,2004,,1,0,0,1
四川省,成都市,成华区,成华 驷马桥,八里桥路204号院,成华区八里桥路204号1幢,社区,3,3.0,12083,222,2003,,2,0,0,2
四川省,成都市,成华区,成华?驷马桥,八里桥206号,成华区八里桥206号,社区,4,4.0,9589,192,2002,,2,0,0,2
四川省,成都市,金牛区,金牛 花牌坊,白马寺小区,白马寺街10号,社区,3,11.0,14246,320,1990,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,22,0,22
四川省,成都市,成华区,成华?双桥子,芙华新大陆,洞子口路819号,社区,7,23.0,14147,1005,2005,,2,22,0,24
四川省,成都市,金牛区,金牛 九里堤,府河路苑,金牛区二环路北二段199号,社区,8,15.0,15999,1556,1997,,2,31,0,33
四川省,成都市,金牛区,金牛-沙河源,府河双桥苑,踏水村洞两路9号,社区,4,4.0,12093,584,2011,,2,0,0,2
四川省,成都市,武侯区,武侯丽都,富临美丽天城,武侯区佳灵路75号,社区,3,5.0,18137,872,2007,,1,10,0,11
四川省,成都市,武侯区,武侯 武侯立交,果堰小区,果堰街16号,社区,8,16.0,10268,896,2010,,0,67,0,67
四川省,成都市,青羊区,青羊 浣花溪,恒宾园,大石西路18号,社区,6,12.0,28975,128,2000,,1,0,0,1
四川省,成都市,武侯区,武侯 五大花园,互盛佳苑,武侯区晋阳路169号,社区,2,6.0,15721,408,2008,,0,12,0,12
四川省,成都市,武侯区,武侯簇桥,江安河畔,武侯区金花镇金花街1号,社区,4,5.0,13247,451,2007,,1,0,0,1
四川省,成都市,青羊区,青羊 金沙,金沙兰亭,金牛区金泽路1号,社区,3,6.0,25310,532,2006,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",2,12,0,14
四川省,成都市,金牛区,金牛 交大路,锦鸿西苑,金牛区交大路219号,社区,5,6.0,11877,317,2001,,3,1,0,4
四川省,成都市,成华区,成华?驷马桥,荆竹苑一期,成华区荆顺路东街259号,社区,4,7.0,16075,1071,2011,,2,10,0,12
四川省,成都市,金牛区,金牛 九里堤,菁华园,金牛区九里堤北路6号,社区,5,22.0,10933,800,2001,,1,43,0,44
四川省,成都市,青羊区,青羊 浣花溪,龙景花园,青羊区百卉路21号附10号,社区,14,34.0,31808,846,2004,"不孕不育,中介,低俗,低俗医疗,保险,内衣内裤,医疗保健,医美整形,房屋地产,房屋租赁,教育培训,沐足SPA,物业,贷款,金融理财",0,68,0,68
四川省,成都市,天府新区,天府新区 南湖,明珠怡园,天府新区天府大道南段2032号,社区,8,28.0,15123,360,2006,,2,56,0,58
四川省,成都市,成华区,成华 万年场,千居朝阳,成华区双庆路26号,社区,10,10.0,20844,2013,2007,,3,28,0,31
四川省,成都市,金牛区,金牛 抚琴小区,人和逸景,金牛区金鱼街与金牛大道营门口路交叉路口往西约100米(兴元花园西区北侧),社区,4,8.0,12961,494,2002,,0,16,0,16
四川省,成都市,武侯区,东苑,人居东苑F区,顺锦路272号,社区,5,7.0,25727,974,2014,"不孕不育,中介,低俗,低俗医疗,保险,内衣内裤,医疗保健,医美整形,房屋地产,房屋租赁,教育培训,沐足SPA,物业,贷款,金融理财",0,70,0,70
四川省,成都市,金牛区,金牛 西南交大,四季香榭,金牛区交大路209号,社区,7,7.0,15251,430,2004,,4,0,0,4
四川省,成都市,成华区,成华 驷马桥,驷马康城,西林一街29号,社区,4,11.0,17179,1151,2013,,0,34,0,34
四川省,成都市,温江区,温江 温江新城,天来国际广场,成都温江区政通东路69号天来国际广场,社区,7,13.0,13267,1312,2012,,0,48,0,48
四川省,成都市,青羊区,青羊 西南财大,天邑花园,青羊区二环路西一段99号,社区,19,48.0,21047,1642,2007,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",5,95,0,100
四川省,成都市,武侯区,武侯簇桥,铁佛兴苑,铁佛路12号,社区,3,3.0,13424,240,2017,,1,0,0,1
四川省,成都市,武侯区,武侯簇桥,铁佛永安苑,铁佛东路18号,社区,7,7.0,12997,263,2000,,2,0,0,2
四川省,成都市,青羊区,青羊 西南财大,西财骏苑,青羊区二环路西二段45号,社区,3,7.0,13554,752,2003,,4,14,0,18
四川省,成都市,武侯区,武侯 草金立交,乡卿城,武侯区武科东二路2号,社区,3,11.0,15460,2496,2000,,4,26,0,30
四川省,成都市,高新区,高新中和,新港国际花园,公济桥路117号,社区,6,8.0,19315,1209,2011,,0,16,2,18
四川省,成都市,武侯区,武侯红牌楼,逸尚美庭,武侯区永顺路270号,社区,2,4.0,17041,298,2009,,4,8,0,12
四川省,成都市,武侯区,武侯区 川音,正黄上岭,丝竹路89号,社区,1,4.0,21073,630,2008,,1,12,0,13
四川省,成都市,金牛区,金牛?交大路,智慧康城,金牛区星河路89号,社区,8,8.0,13900,687,2004,,6,0,0,6
四川省,成都市,青羊区,青羊 光华泡小,置信丽都玉园天俊,绿杨路107号,社区,4,6.0,22681,384,2000,,1,12,0,13
四川省,成都市,武侯区,武侯双楠,紫藤花园,紫藤路3号,社区,7,17.0,15758,369,2002,,0,34,0,34
四川省,成都市,双流区,双流蛟龙港,宗申赛纳维,双流区龙桥路6号,社区,26,26.0,9198,1391,2010,,2,0,0,2
四川省,成都市,金牛区,金牛 马鞍路,锦江岸,星辉东路23号,社区,1,4.0,17959,184,2003,,0,8,0,8
四川省,成都市,武侯区,武侯 广福桥,花样年华一期,七道堰街36号,社区,1,1.0,16712,375,2004,,0,2,0,2
四川省,成都市,成华区,成华 驷马桥,龙城一期,成华区云龙南路19号(云龙南路与致顺路交汇处),社区,9,11.0,16467,1002,2011,,0,22,0,22
四川省,成都市,郫都区,郫都 犀浦,幸福满庭公寓,郫都区犀安路二期14栋,社区,4,4.0,12457,1214,2013,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,8,0,8
四川省,成都市,郫都区,郫都 犀浦,幸福满庭一期,郫都区犀浦街道国宁东路299号,社区,5,7.0,10509,418,2018,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,14,0,14
四川省,成都市,成华区,成华 龙潭寺,上东国际,龙树路1号;成华大道龙潭路3号,社区,6,9.0,17875,448,2011,,0,17,0,17
四川省,成都市,金牛区,金牛 国宾,西城星座,蜀跃东路94号,社区,1,2.0,13778,252,2006,,0,4,0,4
四川省,成都市,双流区,双流 双流城区,空港上辰,双流区东升街道藏卫路南二段100号(广场宾馆以南100米),社区,2,7.0,16886,417,2011,,0,14,0,14
四川省,成都市,金牛区,金牛高家庄,云翔金谷,蜀西南三路111号,社区,1,3.0,14648,326,2007,,0,6,0,6
四川省,成都市,成华区,成华 万象城,花样年花郡,成华区双庆路99号,社区,10,29.0,19454,4703,2008,,2,54,0,56
四川省,成都市,锦江区,锦江 沙河堡,旭通桂香居,锦江区驿都大道静康路锦官阁西侧约40米,社区,3,5.0,16817,408,2005,,0,10,0,10
四川省,成都市,青羊区,青羊 金沙,中大君悦金沙7期,青羊区金鹏街星工厂足球俱乐部东北侧约70米,社区,10,10.0,27519,942,2008,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",2,68,0,70
四川省,成都市,锦江区,锦江 蓝谷地,紫气东来,锦江区合欢树街538号,社区,5,6.0,17178,1224,2011,,0,12,0,12
四川省,成都市,郫都区,郫都 犀浦,尚林家园,郫都区恒山北街99号,社区,7,11.0,10460,915,2007,,3,34,0,37
四川省,成都市,青羊区,青羊 草堂,汇厦花园,草堂北支路56号,社区,6,17.0,19216,459,2004,,2,34,0,36
四川省,成都市,锦江区,锦江 东光小区,成功红树林,晨辉东路301号,社区,5,5.0,24520,752,2013,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",4,10,0,14
四川省,成都市,成华区,成华 万年场,沙河丽景,成都跳蹬河南路7号,社区,7,15.0,17938,669,2007,,4,30,0,34
四川省,成都市,金牛区,金牛 国宾,西岸观邸,金牛区金瑞路118号,社区,9,15.0,19211,2562,2012,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",0,38,0,38
四川省,成都市,青羊区,青羊 光华泡小,华府世家,青羊区东坡北二路533号,社区,1,2.0,23296,576,2011,,0,4,0,4
四川省,成都市,成华区,成华 万年场,上城国际,崔家店路789号,社区,1,1.0,14542,399,2012,,0,2,0,2
四川省,成都市,青羊区,青羊 金沙,君悦金沙三期,青羊区金祥路15号,社区,1,4.0,23229,320,2008,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",2,32,0,34
四川省,成都市,青羊区,青羊 金沙,君悦金沙9期,青羊区蜀采路69号(金沙紫荆电影院西侧),社区,3,3.0,23991,344,2017,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",1,20,0,21
四川省,成都市,金牛区,金牛 九里堤,云庭苑,金牛区星汉路33号,社区,8,23.0,14655,474,2001,,4,0,0,4
四川省,成都市,金牛区,金牛 西南交大,群星路5号院,金牛区群星路5号,社区,1,1.0,10121,84,2000,,2,0,0,2
四川省,成都市,金牛区,金牛 西南交大,三友小区,群星路3号(西南交通大学北面),社区,3,3.0,12131,126,1993,,2,0,0,2
四川省,成都市,金牛区,金牛 西南交大,交桂巷23号院,交桂二巷23号,社区,2,2.0,9579,156,2007,,2,0,0,2
四川省,成都市,金牛区,金牛 九里堤,九里堤北路42号院,金牛区九里堤北路42号,社区,8,2.0,9254,430,1997,,2,0,0,2
四川省,成都市,温江区,温江 温江新城,塞纳河畔,温江区人和路与永兴路交叉路口往西北约180米,社区,18,50.0,11592,668,2007,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",3,100,0,103
四川省,成都市,武侯区,武侯 红牌楼,双楠回归线,武侯大道双楠段36号-1号,社区,2,6.0,16282,384,2003,,4,12,0,16
四川省,成都市,武侯区,武侯 五大花园,瑞泰锦城,晋康街2号,社区,4,9.0,17023,905,2006,,0,30,0,30
四川省,成都市,龙泉驿区,龙泉驿 十陵,书香雅舍2期学林,龙泉驿区江华路475号,社区,1,5.0,12247,485,2008,,0,10,0,10
四川省,成都市,双流区,双流文星镇,上福佳苑,双流区西航港黄河南路一段69号,社区,3,9.0,13393,875,2009,,0,17,0,17
四川省,成都市,双流区,双流 航空港,太禾水晶城,双流区珠江北路18号,社区,7,34.0,12431,729,2006,,2,68,0,70
四川省,成都市,双流区,双流蛟龙港,燕楠国际,双流区航都大街二段756号,社区,9,29.0,18963,2494,2010,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",0,58,0,58
四川省,成都市,双流区,双流 东升镇,满座新街坊,双流区一杆旗北街尚善雅居东北侧约30米,社区,5,5.0,13953,226,2010,,0,6,0,6
四川省,成都市,武侯区,武侯 武侯立交,人才公寓,武侯区武侯大道177号附67号,社区,10,10.0,12000,1500,2000,,2,0,0,2
四川省,成都市,双流区,双流 蛟龙港,东立国际花城,双流区东升街道航都大街四段60号,社区,33,78.0,14180,7214,2010,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",5,156,0,161
四川省,成都市,金牛区,金牛 金牛万达,龙门镇1期,西北桥街33号,社区,8,18.0,16293,1473,2012,,0,36,0,36
四川省,成都市,高新西区,高新西,金色海伦,高新西区天朗路9号(攀钢技术中心背面200米),社区,15,45.0,11202,1213,2010,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,85,0,85
四川省,成都市,锦江区,锦江 沙河堡,帕丽湾,锦江区静康路58号,社区,2,4.0,20590,648,2007,,2,4,0,6
四川省,成都市,金牛区,金牛 花牌坊,西锦国际二期,金牛花牌坊北街88号,社区,3,6.0,21831,1564,2013,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,5,0,5
四川省,成都市,金牛区,金牛 西南交大,星河路67号院,星河路67号,社区,21,40.0,12546,735,2000,,2,0,0,2
四川省,成都市,温江区,温江 温江新城,德昆新天地,温江区光华大道三段1856号,社区,6,6.0,9375,2394,2013,,4,0,0,4
四川省,成都市,高新区,高新 远大,齐盛艺境,天府大道南段1号,社区,3,7.0,19558,800,2008,,0,35,0,35
四川省,成都市,青羊区,青羊 草市街,时代印象,北东街1号,写字楼,5,5.0,12788,1286,2004,,0,5,0,5
四川省,成都市,青羊区,青羊 金沙,印象金沙,青羊金阳路390号,社区,15,22.0,25372,1133,2006,,1,44,0,45
四川省,成都市,青羊区,青羊 草堂,草堂小筑,"草堂北西街19号,清江南街4号",社区,3,5.0,16816,225,2000,,4,0,0,4
四川省,成都市,双流区,天府新区锦江生态带,达观山,双流区大安路1230,社区,22,23.0,13670,858,2014,,0,20,0,20
四川省,成都市,青羊区,青羊 万家湾,光华馨庭,万寿四路19号,社区,6,6.0,18568,1096,2000,,2,0,0,2
四川省,成都市,金牛区,金牛 金牛万达,龙门镇2期,府河桥东路222号,社区,6,8.0,16474,2108,2012,,0,16,0,16
四川省,成都市,青羊区,青羊 万家湾,美苑二期,青羊区万寿四路59号,社区,5,5.0,13633,996,2000,,1,0,0,1
四川省,成都市,青羊区,青羊 万家湾,美苑一期,青羊区万寿四路36号,社区,4,4.0,13633,996,2000,,2,0,0,2
四川省,成都市,青羊区,青羊 万家湾,欧苑,培风东路361号,社区,6,6.0,13075,1290,2011,,2,0,0,2
四川省,成都市,双流区,双流航空港,欧洲印象,双流区机场路近都段48号,社区,6,14.0,18045,2105,2011,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",1,28,0,29
四川省,成都市,青羊区,青羊 光华泡小,瑞景光华,瑞星路99号,社区,3,10.0,23354,280,2000,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",2,26,1,29
四川省,成都市,高新区,高新 中和,三和南锦,新下街191号附1号,社区,6,15.0,19700,437,2008,,4,30,0,34
四川省,成都市,成华区,成华 万年场,上霖东方,成华区崔家店路206号,社区,4,6.0,17791,794,2008,,0,12,0,12
四川省,成都市,青羊区,青羊 优品道,生活立方,青羊区贝森南路8号,社区,3,10.0,22944,399,2005,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,21,0,21
四川省,成都市,武侯区,武侯红牌楼,卫欣苑,盛丰路488号,社区,7,7.0,12783,414,2002,,1,0,0,1
四川省,成都市,武侯区,武侯 簇桥,一品天成,武侯区智达二路玲珑郡西侧约60米,社区,7,10.0,21033,552,2011,,0,20,0,20
四川省,成都市,青羊区,青羊 府南新区,怡景园,石人东路4号,社区,3,3.0,15146,226,2003,,0,6,0,6
四川省,成都市,成华区,成华 SM广场,东篱居一期,建兴路15号,社区,2,8.0,17798,351,2007,,2,16,0,18
四川省,成都市,武侯区,武侯 双楠,月光琉域,广福路99号,社区,4,12.0,20229,1476,2008,,0,24,0,24
四川省,成都市,双流区,双流 双流城区,国栋南园五星城,双流区广都大道6号,社区,5,19.0,11908,1919,2007,,3,38,0,41
四川省,成都市,金牛区,金牛 荷花池,成都地质调查中心,一环路北三段2号,社区,2,9.0,20000,500,0,,0,26,0,26
四川省,成都市,郫都区,郫都成外,西岸翠景,"天目路208号,万福路606号",社区,4,9.0,12971,1086,2017,"不孕不育,中介,低俗,低俗医疗,保险,内衣内裤,医疗保健,医美整形,房屋地产,房屋租赁,教育培训,沐足SPA,物业,贷款,金融理财",0,30,0,30
四川省,成都市,金牛区,金牛 茶店子,懋园西沿风景,金牛区育德路8号,社区,7,26.0,17435,438,2005,,0,24,0,24
四川省,成都市,郫都区,郫都 郫县万达,蜀都万达华府一期,郫都区望丛东路347号,社区,4,8.0,12105,1871,2016,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",3,5,0,8
四川省,成都市,双流区,双流东升镇,交大归谷楠岸,双流区金河路1267号,社区,2,6.0,18756,328,2015,,1,12,0,13
四川省,成都市,郫都区,郫都 郫县万达,蜀都万达华府二期,郫都区檬柏西路131号,社区,4,12.0,12105,1871,2016,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",3,10,0,13
四川省,成都市,双流区,双流 双流城区,瑞丰花园,四川省成都市双流区锦华路三段43号,社区,3,4.0,13937,202,2012,"不孕不育,中介,低俗,低俗医疗,保险,内衣内裤,医疗保健,医美整形,房屋地产,房屋租赁,教育培训,沐足SPA,物业,贷款,金融理财",0,8,0,8
四川省,成都市,锦江区,锦江 盐市口,缤舍,锦江区岳府街38号,社区,2,3.0,19281,507,2000,,0,6,0,6
四川省,成都市,青羊区,青羊 府南新区,光华园,青羊区清江中路12号,社区,1,5.0,28581,1959,2000,,2,10,0,12
四川省,成都市,青羊区,青羊 金沙,天韵金沙,金阳路30号,社区,15,46.0,27139,282,2005,,0,92,0,92
四川省,成都市,高新区,高新 中和,卡斯摩小区,中和大道二段99号,社区,6,8.0,17564,890,2012,,1,16,0,17
四川省,成都市,金牛区,金牛 金牛万达,富丽城,金牛区二环路北三段245号,社区,5,9.0,14266,1466,2005,,0,17,0,17
四川省,成都市,青羊区,青羊 宽窄巷子,现代城成都,锦里西路119号,社区,7,7.0,21457,2370,2013,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",3,6,0,9
四川省,成都市,高新区,高新 中和,领馆逸品,新下街319号,社区,3,6.0,19250,511,2009,,0,12,0,12
四川省,成都市,高新区,高新 交子公园,森警苑,锦晖东街79号,社区,2,5.0,19521,568,2000,"不孕不育,中介,低俗,低俗医疗,保险,内衣内裤,医疗保健,医美整形,房屋地产,房屋租赁,教育培训,沐足SPA,物业,贷款,金融理财",2,10,0,12
四川省,成都市,青羊区,金牛通惠门,芙蓉花园二期,金牛区西安北路2号,社区,8,8.0,17287,610,2005,,0,12,0,12
四川省,成都市,成华区,成华 理工大,东区一号,民兴北一路66号,社区,6,10.0,19240,1650,2013,,1,0,0,1
四川省,成都市,青羊区,青羊 宽窄巷子,现代城成都,锦里西路119号,社区,7,7.0,20534,2679,2013,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,17,0,17
四川省,成都市,金牛区,金牛 高家庄,青房尚瑞天韵,金牛区蜀西环街59号,社区,10,10.0,14974,1866,2008,,0,48,0,48
四川省,成都市,武侯区,武侯华西,锦宏阁,武侯横街17号,社区,1,2.0,14931,780,2000,,0,4,0,4
四川省,成都市,高新区,高新金融城,泛林格兰晴天,名都路678号,社区,1,5.0,27947,335,2005,,0,10,0,10
四川省,成都市,青羊区,青羊 金沙,金沙西园2期,金阳路121号,社区,15,15.0,25372,1133,2006,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,20,0,20
四川省,成都市,青羊区,青羊 万家湾,清河阳光,青羊区月华路23号(月华路培风东路交叉口西北角),社区,15,29.0,16953,4846,2010,,4,58,0,62
四川省,成都市,郫都区,郫都 犀浦,幸福满庭2期,郫都区犀安路38号,社区,17,17.0,17106,418,2012,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",2,12,0,14
