序号,行政区域,商圈,社区名称,楼盘性质,社区地址,媒体数量,媒体位置,道闸画面尺寸,灯箱显示画面尺寸,楼盘均价,交房时间,楼盘户数,楼盘居住总人数,日人流量,车位数,日车流量,禁忌行业
14,白云区,白云大道北商圈,松涛南苑,住宅,白云区白云大道白云堡道84号,1,混进混出,830*3290,440*920,25000.0,1999,1500,6000,9000,850,4250,没有限制
15,白云区,白云大道南商圈,富悦花园,高档住宅,白云区白云大道南富悦街,1,混进混出,830*3700,480*845,25000.0,1998,300,1200,1800,100,650,没有限制
16,白云区,白云大道南商圈,金景大厦,高档楼盘,白云区大金钟路11号,1,进口,830*3126,480*845,38000.0,2000,200,800,1200,100,500,没有限制
17,白云区,白云大道南商圈,金景大厦,高档楼盘,白云区大金钟路11号,1,出口,830*3290,480*845,38000.0,2000,200,800,1200,100,500,没有限制
18,白云区,白云大道南商圈,金泉山庄,高档住宅、综合商业,大金钟路38号,1,出口,830*2634,410*780,37000.0,2003,450,1800,2700,200,800,没有限制
19,白云区,白云大道南商圈,金泉山庄,高档住宅、综合商业,大金钟路38号,1,进口,830*2552,410*780,37000.0,2003,450,1800,2700,200,800,没有限制
20,白云区,白云大道南商圈,云山雅苑,高档住宅,白云区白云大道金钟横路148-206号,1,进口,830*3044,440*920,65000.0,2008,1050,4200,5250,800,4800,没有限制
21,白云区,白云大道南商圈,云山雅苑,高档住宅,白云区白云大道金钟横路148-206号,1,出口,830*2880,440*920,65000.0,2008,1050,4200,5250,800,4800,没有限制
22,白云区,白云新城商圈,保利·云禧花园（东区）1,高档住宅,白云区齐富路196号,1,进口,830*3618,480*845,80000.0,2013,800,3200,12800,750,3500,限制地产、整形
23,白云区,白云新城商圈,保利·云禧花园（东区）2,高档住宅,白云区齐富路196号,1,进口,830*3536,480*845,80000.0,2013,800,3200,12800,750,3500,限制地产、整形
24,白云区,白云新城商圈,保利·云禧花园（东区）3,高档住宅,白云区齐富路196号,1,出口,830*3536,480*845,80000.0,2013,800,3200,12800,750,3500,限制地产、整形
25,白云区,白云新城商圈,保利·云禧花园（东区）4,高档住宅,白云区齐富路196号,1,出口,830*3290,480*845,80000.0,2013,800,3200,12800,750,3500,限制地产、整形
26,白云区,白云新城商圈,保利·云禧花园（西区）北门,高档住宅,白云区齐富路196号,1,出口,830*3536,480*845,80000.0,2013,800,3200,12800,750,3500,限制地产、整形
27,白云区,白云新城商圈,保利·云禧花园（西区）北门,高档住宅,白云区齐富路196号,1,出口,830*3618,480*845,80000.0,2013,800,3200,12800,750,3500,限制地产、整形
28,白云区,白云新城商圈,保利·云禧花园（西区）南门,高档住宅,白云区齐富路196号,1,进口,830*3536,480*845,80000.0,2013,800,3200,12800,750,3500,限制地产、整形
29,白云区,白云新城商圈,保利·云禧花园（西区）南门,高档住宅,白云区齐富路196号,1,进口,830*3618,480*845,80000.0,2013,800,3200,12800,750,3500,限制地产、整形
30,白云区,白云新城商圈,龙湖·天奕,高档住宅,白云区云城西路萧岗地铁站B出口西北400米,1,进口,830*3700,440*920,125000.0,2022,850,5200,4250,850,5100,限制地产
31,白云区,白云新城商圈,龙湖·天奕,高档住宅,白云区云城西路萧岗地铁站B出口西北400米,1,进口,830*3700,440*920,125000.0,2022,850,5200,4250,850,5100,限制地产
32,白云区,白云新城商圈,龙湖·天奕,高档住宅,白云区云城西路萧岗地铁站B出口西北400米,1,出口,830*3208,440*920,125000.0,2022,850,5200,4250,850,5100,限制地产
33,白云区,白云新城商圈,龙湖·天奕,高档住宅,白云区云城西路萧岗地铁站B出口西北400米,1,出口,830*3700,440*920,125000.0,2022,850,5200,4250,850,5100,限制地产
34,白云区,黄石商圈,龙湖招商·天鉅府,高档住宅,白云区黄石西路601号,1,出口,750*2800,440*920,55000.0,2022,720,2900,4500,720,5500,限制地产
35,白云区,黄石商圈,龙湖招商·天鉅府,高档住宅,白云区黄石西路601号,1,进口,750*2800,440*920,55000.0,2022,720,2900,4500,720,5500,限制地产
36,白云区,黄石商圈,龙湖招商·天鉅府,高档住宅,白云区黄石西路601号,1,混进混出,830*3454,480*845,55000.0,2022,720,2900,4500,720,5500,限制地产
37,白云区,黄石商圈,越秀·宏域大厦,高档住宅,白云区黄石东路99号,1,对开进口,830*3044,440*920,25000.0,1997,4200,16800,25000,2000,12000,限制地产
38,白云区,黄石商圈,越秀·宏域大厦,高档住宅,白云区黄石东路99号,1,对开出口,830*3044,440*920,25000.0,1997,4200,16800,25000,2000,12000,限制地产
39,白云区,黄石商圈,越秀·宏域大厦,高档住宅,白云区黄石东路99号,1,出口,830*3536,440*920,25000.0,1997,4200,16800,25000,2000,12000,限制地产
40,白云区,机场路商圈,白云明珠公寓,住宅,白云区机场路华明街73号,1,混进混出（小区前门）,750*2800,440*920,35000.0,1997,1500,6000,9000,1000,6000,没有限制
41,白云区,机场路商圈,白云明珠公寓,住宅,白云区机场路华明街73号,1,混进混出（小区后门）,750*2800,440*920,35000.0,1997,1500,6000,9000,1000,6000,没有限制
42,白云区,机场路商圈,白云明珠广场（商业）,写字楼、综合商业,白云区机场路660号,1,进口（门口商业）,750*2800,440*920,35000.0,1997,1500,6000,9000,1000,6000,没有限制
43,白云区,机场路商圈,白云明珠广场（商业）,写字楼、综合商业,白云区机场路660号,1,出口（门口商业）,750*2800,440*920,35000.0,1997,1500,6000,9000,1000,6000,没有限制
44,白云区,机场路商圈,白云明珠广场（商业）,写字楼、综合商业,白云区机场路660号,1,进口（车库商业）,750*2800,440*920,35000.0,1997,1500,6000,9000,1000,6000,没有限制
45,白云区,机场路商圈,白云明珠广场（商业）,写字楼、综合商业,白云区机场路660号,1,出口（车库商业）,750*2800,440*920,35000.0,1997,1500,6000,9000,1000,6000,没有限制
46,白云区,机场路商圈,白云明珠广场（商业）,写字楼、综合商业,白云区机场路660号,1,进口（门口商业）,750*2800,440*920,35000.0,1997,1500,6000,9000,1000,6000,没有限制
47,白云区,机场路商圈,飞鹅西小区,住宅,广州市白云区飞鹅西路44号 1个,1,混进混出,745*2142,440*920,30000.0,1989,2011,8044,10055,1000,6000,限制地产
48,白云区,机场路商圈,金迪城市花园,高档住宅,白云区机场路西侧乐陶街46号,1,进口,830*2634,440*920,28500.0,2000,1100,4400,6600,600,2600,没有限制
49,白云区,机场路商圈,金迪城市花园,高档住宅,白云区机场路西侧乐陶街46号,1,出口,830*3700,440*920,28500.0,2000,1100,4400,6600,600,2600,没有限制
50,白云区,机场路商圈,康雅花园,住宅,白云区机场路89-112号,1,混进混出,750*2800,440*920,30000.0,1999,900,3600,4500,550,3300,没有限制
51,白云区,机场路商圈,云映阁,住宅,白云区机场西乐嘉路和健二街10-16号,1,进口,750*2800,440*920,30000.0,2000,850,3400,4300,500,3000,没有限制
52,白云区,机场路商圈,云映阁,住宅,白云区机场西乐嘉路和健二街10-16号,1,出口,750*2800,440*920,30000.0,2000,850,3400,4300,500,3000,没有限制
53,白云区,嘉禾商圈,双龙花园,住宅,白云区鹤龙三路,1,混进混出,830*3700,480*845,15000.0,2000,850,3600,5200,400,2500,没有限制
54,白云区,金沙洲商圈,保利·春天园,高档住宅,白云区悦峰横街与悦峰一街交汇处,1,进口,830*3290,440*920,40000.0,2013,780,3200,4000,700,3500,限制地产
55,白云区,金沙洲商圈,保利·春天园,高档住宅,白云区悦峰横街与悦峰一街交汇处,1,出口,830*3700,440*920,40000.0,2013,780,3200,4000,700,3500,限制地产
56,白云区,金沙洲商圈,保利·西海岸（瀚海花园）北门,高档住宅,金沙洲彩滨北路,1,出口,830*3782,480*845,43000.0,2010,1500,6000,9000,1300,6500,限制地产
57,白云区,金沙洲商圈,保利·西海岸（瀚海花园）北门,高档住宅,金沙洲彩滨北路,1,进口,830*3782,480*845,45000.0,2010,1500,6000,9000,1300,6500,限制地产
58,白云区,金沙洲商圈,保利·西海岸（瀚海花园）南门,高档住宅,金沙洲彩滨北路,1,出口,830*3700,480*845,43000.0,2010,1500,6000,9000,1300,6500,限制地产
59,白云区,金沙洲商圈,保利·西海岸（瀚海花园）南门,高档住宅,金沙洲彩滨北路,1,进口,830*3700,480*845,43000.0,2010,1500,6000,9000,1300,6500,限制地产
60,白云区,金沙洲商圈,保利·西子湾,高档住宅,白云区金沙洲岛环洲二路,1,出口,830*2790,480*845,43000.0,2008,2200,8800,13200,1500,6000,限制地产
61,白云区,金沙洲商圈,保利·西子湾,高档住宅,白云区金沙洲岛环洲二路,1,进口,830*3044,480*845,43001.0,2008,2200,8800,13200,1500,6000,限制地产
62,白云区,金沙洲商圈,保利·西子湾,高档住宅,白云区金沙洲岛环洲二路,1,进口,830*2790,480*845,43002.0,2008,2200,8800,13200,1500,6000,限制地产
63,白云区,金沙洲商圈,保利·西子湾,高档住宅,白云区金沙洲岛环洲二路,1,出口,830*3044,480*845,43003.0,2008,2200,8800,13200,1500,6000,限制地产
64,白云区,金沙洲商圈,越秀·星汇金沙花园,高档住宅,白云区金沙街道浔峰社区汇锦街,1,车库进口,830*2790,440*920,36000.0,2015,1050,4100,6200,800,4800,限制地产
65,白云区,金沙洲商圈,越秀·星汇金沙花园,高档住宅,白云区金沙街道浔峰社区汇锦街,1,车库出口,830*3208,440*920,36000.0,2015,1050,4100,6200,800,4800,限制地产
66,白云区,金沙洲商圈,越秀·星汇金沙花园,高档住宅,白云区金沙街道浔峰社区汇锦街,1,东门进口,830*3372,440*920,36000.0,2015,1050,4100,6200,800,4800,限制地产
67,白云区,金沙洲商圈,越秀·星汇金沙花园,高档住宅,白云区金沙街道浔峰社区汇锦街,1,东门出口,830*3700,440*920,36000.0,2015,1050,4100,6200,800,4800,限制地产
68,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,北门对开进口1,750*2800,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
69,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,北门对开进口2,750*2800,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
70,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,车库出口1,750*2800,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
71,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,车库出口2,750*2800,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
72,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,车库后门出口,830*3208,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
73,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,学校进口1,830*3208,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
74,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,学校进口2,830*3208,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
75,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,南门进口,830*3208,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
76,白云区,金沙洲商圈,越秀·星汇金沙雅筑,高档住宅,白云区金沙街道浔峰社区,1,南门出口,830*3536,440*920,36000.0,2015,5000,20000,30000,4000,24000,限制地产
77,白云区,罗冲围商圈,富力半岛花园,高档住宅,白云区增槎路43号,1,进口,750*2800,440*920,40000.0,1998,7200,28800,43200,3800,22800,没有限制
78,白云区,罗冲围商圈,富力半岛花园,高档住宅,白云区增槎路43号,1,出口,750*2800,440*920,40000.0,1998,7200,28800,43200,3800,22800,没有限制
79,白云区,平沙商圈,平沙美华百货,商业广场,白云区平沙路2号,1,混进混出,830*2880,480*845,,/,800,8000,20000,300,3000,没有限制
80,白云区,人和商圈,龙湖·天著二期（北门）,高档住宅,白云区人和镇江人三路南云来一街,1,进口,830*2790,440*920,30000.0,2022,1400,6400,7500,2000,12000,限制地产
81,白云区,人和商圈,龙湖·天著二期（北门）,高档住宅,白云区人和镇江人三路南云来一街,1,出口,830*2716,440*920,30000.0,2022,1400,6400,7500,2000,12000,限制地产
82,白云区,人和商圈,龙湖·天著二期（西门）,高档住宅,白云区人和镇江人三路南云来一街,1,进口,830*3618,440*920,30000.0,2022,1400,6400,7500,2000,12000,限制地产
83,白云区,人和商圈,龙湖·天著二期（西门）,高档住宅,白云区人和镇江人三路南云来一街,1,出口,830*3536,440*920,30000.0,2022,1400,6400,7500,2000,12000,限制地产
84,白云区,人和商圈,龙湖·天著商业广场,商业广场,白云区人和镇江人三路南云来一街,1,出口,750*2800,440*920,30000.0,2022,1200,6000,7200,1200,8000,限制地产
85,白云区,人和商圈,龙湖·天著商业广场,商业广场,白云区人和镇江人三路南云来一街,1,进口,750*2800,440*920,30000.0,2022,1200,6000,7200,1200,8000,限制地产
86,白云区,人和商圈,龙湖·天著一期,高档住宅,白云区人和镇江人三路南云来一街,1,出口,830*3700,440*920,30000.0,2022,1200,6000,7200,1200,8000,限制地产
87,白云区,人和商圈,龙湖·天著一期,高档住宅,白云区人和镇江人三路南云来一街,1,进口,830*3700,440*920,30000.0,2022,1200,6000,7200,1200,8000,限制地产
88,白云区,三元里大道商圈,保利·阅云台,高档楼盘,白云区三元里大道1146号,1,进口,750*2800,440*920,50000.0,2023,2600,10400,13000,2600,13000,限制地产
89,白云区,三元里大道商圈,保利·阅云台,高档楼盘,白云区三元里大道1146号,1,出口,750*2800,440*920,50000.0,2023,2600,10400,13000,2600,13000,限制地产
90,白云区,三元里大道商圈,城启·晓翠苑,高档楼盘,白云区三元里大道广花四路60-68号,1,混进混出,830*3290,410*780,30000.0,1998,950,3800,12200,500,2500,没有限制
91,白云区,三元里大道商圈,骏御华庭,高档楼盘,白云区三元里大道北1220-1225号,1,进口,830*3044,410*780,32000.0,2013,350,1400,2100,200,850,没有限制
92,白云区,三元里大道商圈,骏御华庭,高档楼盘,白云区三元里大道北1220-1225号,1,出口,830*3044,410*780,32000.0,2013,350,1400,2100,200,850,没有限制
93,白云区,三元里大道商圈,远景新城,住宅,白云区三元里大道益寿路涌北大街102号,1,混进混出,830*3044,480*845,25000.0,2000,530,2200,3000,300,1600,没有限制
94,白云区,石井商圈,品实·云湖花城（门口商业）,商业综合体,白云区石门街道石沙路286号,1,出口,750*2800,440*920,,/,3000,18000,25000,2000,30000,没有限制
95,白云区,石井商圈,品实·云湖花城（门口商业）,商业综合体,白云区石门街道石沙路286号,1,进口,750*2800,440*920,,/,3000,18000,25000,2000,30000,没有限制
96,白云区,石井商圈,庆丰财智广场,商业广场,白云区石井街道庆丰社区庆丰广场路6号,1,进口,830*3126,480*845,,/,1000,12000,35000,500,5000,没有限制
97,白云区,石井商圈,庆丰财智广场,商业广场,白云区石井街道庆丰社区庆丰广场路6号,1,出口,830*3700,480*845,,/,1000,12000,35000,500,5000,没有限制
98,白云区,同和商圈,柏林半山雅墅,高档住宅,白云区同和倚翠街37号,1,出口,830*2880,480*845,30000.0,2000,1050,4200,6300,800,4000,没有限制
99,白云区,同和商圈,柏林半山雅墅,高档住宅,白云区同和倚翠街38号,1,进口,830*2798,480*845,30000.0,2000,1050,4200,6300,800,4000,没有限制
100,白云区,同和商圈,佳润广场,综合商业体,白云区广州大道北1419号,1,进口,750*2800,440*920,,/,4500,18000,22500,3000,18000,没有限制
101,白云区,同和商圈,佳润广场,综合商业体,白云区广州大道北1419号,1,出口,750*2800,440*920,,/,4500,18000,22500,3000,18000,没有限制
102,白云区,同和商圈,丽庭居（同和地铁站门口）,高档楼盘、综合商业,白云区同和地铁站门口,1,混进混出,830*3700,480*845,25000.0,2001,300,1200,1800,120,500,没有限制
103,白云区,同和商圈,丽庭居（同和地铁站门口）,高档楼盘、综合商业,白云区同和地铁站门口,1,进口,830*3290,410*780,25000.0,2001,300,1200,1800,120,500,没有限制
104,白云区,同和商圈,南方医科大学国家大学科技园,科技园,白云区沙太北路2号,1,进口,750*2800,440*920,,/,900,3600,5400,500,3000,没有限制
105,白云区,同和商圈,南方医科大学国家大学科技园,科技园,白云区沙太北路2号,1,出口,750*2800,440*920,,/,900,3600,5400,500,3000,没有限制
106,白云区,同和商圈,倚绿山庄,高档住宅,白云区同和云祥路97号,1,进口,830*3290,440*920,30000.0,2000,1050,4200,6300,800,4000,没有限制
107,白云区,同和商圈,倚绿山庄,高档住宅,白云区同和云祥路97号,1,出口,830*3290,440*920,30000.0,2000,1050,4200,6300,800,4000,没有限制
108,白云区,同和商圈,倚绿山庄（门口商业广场）,商业,白云区同和云祥路97号,1,进口,750*3000,440*920,,/,500,3000,3500,400,3600,没有限制
109,白云区,同和商圈,倚绿山庄（门口商业广场）,商业,白云区同和云祥路97号,1,出口,750*2800,560*1125,,/,500,3000,3500,400,3600,没有限制
110,白云区,同和商圈,云景花园（（工商局大门）,高档住宅,广州白云区云景路10号,1,混进混出,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
111,白云区,同和商圈,云景花园（（锦云阁））,高档住宅,广州白云区云景路10号,1,混进混出,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
112,白云区,同和商圈,云景花园（京溪路大门）,高档住宅,广州白云区云景路10号,1,进口,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
113,白云区,同和商圈,云景花园（京溪路大门）,高档住宅,广州白云区云景路11号,1,出口,750*2800,440*920,65001.0,2009,3501,14001,17501,2501,15001,没有限制
114,白云区,同和商圈,云景花园（南方医院大门）,高档住宅,广州白云区云景路10号,1,进口,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
115,白云区,同和商圈,云景花园（南方医院大门）,高档住宅,广州白云区云景路10号,1,出口,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
116,白云区,同和商圈,云景花园（云桂苑）,高档住宅,广州白云区云景路10号,1,混进混出,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
117,白云区,同和商圈,云景花园（云辉大厦）,高档住宅,广州白云区云景路10号,1,混进混出,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
118,白云区,同和商圈,云景花园（云景居委会）,高档住宅,广州白云区云景路10号,1,混进混出,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
119,白云区,同和商圈,云景花园（云景苑）,高档住宅,广州白云区云景路10号,1,混进混出,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
120,白云区,同和商圈,云景花园门口商业街,综合商业,广州白云区云景路10号,1,混进混出,750*2800,440*920,65000.0,2008,3500,14000,17500,2500,15000,没有限制
121,白云区,同和商圈,云景名都（商业广场门口）,商业,白云区京溪路97号,1,进口,830*3700,480*845,53000.0,2005,2000,8000,12000,820,4501,没有限制
122,白云区,同和商圈,云景名都（商业广场门口）,高档住宅,白云区京溪路97号,1,出口,830*3700,480*845,53000.0,2005,2000,8000,12000,820,4500,没有限制
123,白云区,同和商圈,云景名都（小区门口）,高档住宅,白云区京溪路97号,1,进口,830*2962,480*845,53000.0,2005,2000,8000,12000,820,4503,没有限制
124,白云区,同和商圈,云景名都（小区门口）,高档住宅,白云区京溪路97号,1,出口,830*2962,480*845,53000.0,2005,2000,8000,12000,820,4502,没有限制
125,白云区,夏茅商圈,合景·朗云花园,高档住宅、别墅,白云区机场路夏茅客运站公交站对面,1,进口,750*2800,440*920,45000.0,2023,960,4000,4500,1000,5000,限制地产
126,白云区,夏茅商圈,合景·朗云花园,高档住宅、别墅,白云区机场路夏茅客运站公交站对面,1,出口,750*2800,440*920,45000.0,2023,960,4000,4500,1000,5000,限制地产
127,白云区,夏茅商圈,合景·朗云花园,高档住宅、别墅,白云区机场路夏茅客运站公交站对面,1,进口,830*2634,480*845,45000.0,2023,960,4000,4500,1000,5000,限制地产
128,白云区,夏茅商圈,合景·朗云花园,高档住宅、别墅,白云区机场路夏茅客运站公交站对面,1,出口,830*3044,480*845,45000.0,2023,960,4000,4500,1000,5000,限制地产
129,白云区,新市商圈,白云骏景家园,高档住宅,白云区机场路北齐富路,1,出口,830*2142,440*920,37000.0,2005,980,3920,5880,500,2500,没有限制
130,白云区,新市商圈,白云骏景家园,高档住宅,白云区机场路北齐富路,1,进口,830*1978,440*920,37000.0,2005,980,3920,5880,500,2500,没有限制
131,白云区,新市商圈,保利·白云山庄,高档住宅,白云区丛云路68号,1,混进混出,830*3700,480*845,45000.0,2001,450,1800,2250,300,1500,限制地产
132,白云区,新市商圈,保利·华润紫云,高档楼盘,白云区新市西苑路103号,1,进口,830*3044,480*845,45000.0,2018,1964,7856,11784,1800,9000,限制地产
133,白云区,新市商圈,保利·华润紫云,高档楼盘,白云区新市西苑路103号,1,出口,830*2716,480*845,45000.0,2018,1964,7856,11784,1800,9000,限制地产
134,白云区,新市商圈,保利·松云雅苑,高档住宅,白云区丛云路72号,1,对开出口,830*2634,480*845,45000.0,2000,350,1400,2100,200,1000,限制地产
135,白云区,新市商圈,保利·松云雅苑,高档住宅,白云区丛云路72号,1,对开进口,830*2634,480*845,45000.0,2000,350,1400,2100,200,1000,限制地产
136,白云区,新市商圈,保利·紫薇花园,高档住宅,机场路汇侨新城西汇侨中路,1,出口,830*2060,480*845,36000.0,2007,1020,4080,6120,600,3000,限制地产
137,白云区,新市商圈,保利·紫薇花园,高档住宅,机场路汇侨新城西汇侨中路,1,进口,830*2552,480*845,36000.0,2007,1020,4080,6120,600,3000,限制地产
138,白云区,新市商圈,马务新街,综合商业,白云区机场路马务新街9号,1,进口,750*2800,440*920,,/,1000,4000,5000,800,4000,没有限制
139,白云区,新市商圈,马务新街,综合商业,白云区机场路马务新街9号,1,出口,750*2800,440*920,,/,1000,4000,5000,800,4000,没有限制
140,白云区,新市商圈,人防大厦,住宅、综合商业,白云区新市新街73、75号,1,混进混出,830*3700,440*920,,/,680,2720,4080,350,1750,没有限制
141,番禺区,大石商圈,福安园（北门）,住宅,番禺区大石宾至路81号,1,进口,750*3000,440*920,48000.0,1995,350,1500,2100,300,1800,没有限制
142,番禺区,大石商圈,福安园（北门）,住宅,番禺区大石宾至路81号,1,出口,750*3000,440*920,48000.0,1995,350,1500,2100,300,1800,没有限制
143,番禺区,大石商圈,福安园（南门）,住宅,番禺区大石宾至路81号,1,进口,750*3000,440*920,48000.0,1995,350,1500,2100,300,1800,没有限制
144,番禺区,大石商圈,福安园（南门）,住宅,番禺区大石宾至路81号,1,出口,750*3000,440*920,48000.0,1995,350,1500,2100,300,1800,没有限制
145,番禺区,大石商圈,福泰园,住宅,番禺区大石朝阳东路60号,1,南门（混进混出）,750*2800,440*920,25000.0,1995,1200,4800,7200,800,4800,没有限制
146,番禺区,大石商圈,福泰园,住宅,番禺区大石朝阳东路60号,1,北门（混进混出）,750*2800,440*920,25000.0,1995,1200,4800,7200,800,4800,没有限制
147,番禺区,大石商圈,富丽家园（福宁园）,住宅,番禺区大石朝阳东路203-1号,1,南门（混进混出）,750*2800,440*920,28000.0,1998,1500,6000,8000,1000,6000,没有限制
148,番禺区,大石商圈,富丽家园（福宁园）,住宅,番禺区大石朝阳东路203-1号,1,北门（混进混出）,830*3618,440*920,28000.0,1998,1500,6000,8000,1000,6000,没有限制
149,番禺区,大石商圈,富丽家园（乳芳园）,住宅,番禺区大石朝阳东路10号,1,混进混出,750*2400,440*920,25000.0,1995,1000,4000,6000,700,4200,没有限制
150,番禺区,大石商圈,富丽家园（乳芳园）,住宅,番禺区大石朝阳东路10号,1,混进混出,750*3000,440*920,25000.0,1995,1000,4000,6000,700,4200,没有限制
151,番禺区,大石商圈,富庭东园,高档住宅,番禺区大石镇建华路89号,1,混进混出,830*3700,440*920,35000.0,2003,800,3200,4800,500,2500,没有限制
152,番禺区,大石商圈,金穗悦尚公馆,高档住宅,番禺区大石建华路与群贤路交叉口东南方向236米,1,进口,750*3000,440*920,30000.0,2015,300,1200,1800,200,1200,没有限制
153,番禺区,大石商圈,金穗悦尚公馆,高档住宅,番禺区大石建华路与群贤路交叉口东南方向236米,1,出口,750*3000,440*920,30000.0,2015,300,1200,1800,200,1200,没有限制
154,番禺区,大石商圈,桔芳园,住宅,番禺区大石朝阳西路51号,1,混进混出,750*3000,440*920,20000.0,1997,550,2200,3300,400,2400,没有限制
155,番禺区,大石商圈,荔芳园,住宅,番禺区大石朝阳西路10号,1,混进混出,750*2800,440*920,25000.0,1999,600,2400,3500,450,2600,没有限制
156,番禺区,大石商圈,荔芳园,住宅,番禺区大石朝阳西路10号,1,混进混出,830*3618,480*845,25000.0,1999,600,2400,3500,450,2600,没有限制
157,番禺区,大学城商圈,越秀·星汇文华,高档住宅,番禺区大学城华工南路12号,1,一期进口,830*3536,440*920,80000.0,2015,1030,4120,6180,800,4800,限制地产
158,番禺区,大学城商圈,越秀·星汇文华,高档住宅,番禺区大学城华工南路12号,1,一期出口,830*3536,440*920,80000.0,2015,1030,4120,6180,800,4800,限制地产
159,番禺区,大学城商圈,越秀·星汇文华,高档住宅,番禺区大学城华工南路12号,1,二期进口,830*3536,440*920,80000.0,2015,1030,4120,6180,800,4800,限制地产
160,番禺区,大学城商圈,越秀·星汇文华,高档住宅,番禺区大学城华工南路12号,1,二期出口,830*3536,440*920,80000.0,2015,1030,4120,6180,800,4800,限制地产
161,番禺区,大学城商圈,越秀·星汇文华,高档住宅,番禺区大学城华工南路12号,1,三期进口,830*3290,440*920,80000.0,2015,1030,4120,6180,800,4800,限制地产
